,administrativeRegion,infantMortality,lowBirthWeight,maternalMortality,infantHospitalizationsRespiratoryCrisis,pipedWaterAccess,sanitationAccess,toiletAccess,populationLivingInNonUrbanizedSlums,electricityAccess,excessiveHousingDensity,homicideRate,streetRobberies,literacyRate,qualityOfElementaryEducationEarlyYears,qualityOfElementaryEducationLateYears,highSchoolDropoutRate,mobileOrFixedTelephoneAccess,internetAccess,chronicDiseaseMortality,dengueIncidence,tuberculosisAndHIVMortality,wasteSelectiveCollection,degradationOfGreenAreas,urbanMobility,policeActionHomicides,averageTravelTime,politicalParticipation,teenagePregnancy,childLabor,culturalAccessIndex,violenceAgainstWomen,homicidesOfBlackYouth,familyVulnerability,populationWithHigherEducation,blacksAndIndigenousWithHigherEducation,attendanceToHigherEducation
0,I PORTUARIA,2.3076923076923075,0.10872675250357654,0,6.16,0.9973,0.9397,0.9426,0.041,0.9112,0.102,20.49079695945256,14.96,0.5124,5.42,5,1.4000000000000001,0.9304,0.3235,216.48770349844128,94.49202914012254,34.93342100937038,0,-0.0003,0.5997,10.95456613695596,42.94,0.30332053300638834,0.11874105865522175,0,14.89,267.60461299535706,0,0.0454,0.0388,0.021,0.0981
1,II CENTRO,2.348796241926013,0.1056338028169014,207.9002079002079,14.3,0.9966,0.9223,0.9234,0.0026,0.9691,0.0377,25.446252262364116,59.84,0.40509999999999996,6,5.1,0.9333333333333332,0.9747,0.5076,220.31823745410037,7.291818579553741,17.014243352292063,0.02172034755257587,-0.0065,0.8923484517038549,4.889251103367285,31.04,0.35492451958070814,0.07042253521126761,0,92.44,548.731691652019,0,0.0135,0.2402,0.1803,0.3937
2,III RIO COMPRIDO,2.8937577511368335,0.11557177615571776,0,5.07,0.9946,0.9303,0.9645,0.0874,0.9077,0.0813,30.38936372269706,7.74,0.675,5.3999999999999995,5.5,1.9500000000000002,0.9531,0.4588,228.18260073510322,16.809547823163555,15.193719929095973,0.020531724475194364,-0.0312,0.6506869262424818,25.324469768914216,23.25,0.3121244465036568,0.12980769230769232,3.8,17.89,210.19309908198798,8.863564419119975,0.0228,0.1516,0.0663,0.218
3,IV BOTAFOGO,1.409366869037294,0.07881136950904392,19.650225977598744,2.73,0.9987,0.9907,0.9933,0.0167,0.9866,0.0077,1.251413053906703,7.31,0.5431,5.45,6.53,1.1800000000000002,0.9976,0.7555,149.05343877306495,10.656584610965162,10.845579800524758,0.11727128644808686,-0.0849,0.7727642462947745,0.8342753692711353,25.65,0.3381217642411738,0.06524547803617571,0.42,58.81,105.11869652816306,0,0.0049,0.5703,0.3517,0.6869
4,V COPACABANA,1.6295491580662684,0.09801876955161627,63.91818472355385,2.73,0.9992,0.9936,0.9949,0.0173,0.972,0.0107,4.963056250038774,5.06,0.59,6.333333333333333,5.9,0.2,0.9939,0.7196,171.84838319938166,7.514071807202579,13.648404687606629,0.0751509526445027,-0.0798,0.9541227487887041,1.2407640625096934,24.71,0.3679407588695559,0.056308654848800835,0,32.22,158.19741796998593,0,0.0055,0.5049,0.2834,0.5869
5,VI LAGOA,1.1704462326261886,0.08175061932287365,26.336581511719782,8.9,0.996,0.9944,0.9974,0.0271,0.9863,0.0198,2.9801995541621467,6.06,0.5566,6.016666666666667,4.699999999999999,4.828571428571428,0.9959,0.7968,118.19361891097903,8.344558751654011,8.344558751654011,0.09964684898227065,-0.0443,0.6656394912203321,1.1920798216648587,27.6,0.3266848110539023,0.023947151114781174,0,89.05,102.51886466317785,0,0.006,0.5813,0.1882,0.6648
6,VII SÃO CRISTOVÃO,2.9308323563892147,0.10791993037423847,79.26023778071334,8.48,0.9941,0.9317,0.9726,0.0495,0.8883,0.0709,14.156536092211793,10.69,0.48369999999999996,5.425,5.05,6.857142857142857,0.9531,0.366,228.68918375552875,9.691612878215192,28.265887784425495,0.039173769415301124,-0.0063,0.6254063221369012,3.8955505496708573,28.55,0.27525972540795596,0.12869565217391304,0,7.28,203.2604232309666,1.2369285064792566,0.0322,0.0879,0.0584,0.1924
7,VIII TIJUCA,2.0996640537514,0.0949529512403764,25.214321734745337,5.5,0.9666,0.9603,0.9951,0.0135,0.9732,0.0185,7.030941813446056,5.45,0.4769,5.573333333333334,5.3,1.45,0.992,0.7107,180.01055892324425,6.104819755196728,13.750618777845004,0.031831206370071356,-0.0011,0.8350035751608822,7.157856350111097,22.18,0.31492103892760737,0.06073567151411463,0.55,81.97,134.73383081937766,2.2000990044552005,0.0061,0.4634,0.2462,0.6174
8,IX VILA ISABEL,2.1691973969631237,0.09342560553633218,78.63695937090432,17.95,0.9871,0.9854,0.9949,0.1028,0.9286,0.0212,1.6799576720722624,4.77,0.47950000000000004,5.545454545454546,5.066666666666666,3.5142857142857147,0.9854,0.682,168.7322504366838,5.282341133590407,11.621150493898895,0.05968294553886622,-0.0191,0.4013,10.036448153821773,30.08,0.3054073506363441,0.07000864304235091,0.53,9.18,109.70816364375891,0,0.0119,0.4072,0.2581,0.5424
9,X RAMOS,2.031567432411314,0.08689390302448392,55.56327267676066,14.99,0.995,0.9718,0.9911,0.2444,0.9064,0.0663,16.64941908232102,6.66,0.43170000000000003,5.54,5.15,0.6666666666666666,0.9723,0.4766,332.9021861283688,4.56987667861363,26.76642054616555,0.007166603774509667,-0.0676,0.9753096091449761,7.6672943125299176,23.08,0.28105944703606245,0.13189448441247004,4.57,5.28,125.86727878596945,3.4534068337020303,0.02,0.1343,0.0836,0.2389
10,XI PENHA,2.33983286908078,0.09437621202327084,99.84025559105432,23.36,0.9983,0.974,0.9963,0.0744,0.9753,0.0593,13.66943587406741,4.13,0.45770000000000005,5.25,5.228571428571429,4.109090909090909,0.9522,0.4867,214.95880924439075,9.692218225677918,17.76906674707618,0.02948865882753429,-0.0532,0.8011426048374938,8.827163516407444,28.08,0.2908739463094457,0.10084033613445378,5.38,24.3,127.72419858168085,2.1432867037805865,0.0195,0.1339,0.0865,0.2093
11,XII INHAÚMA,1.965280052407468,0.09248554913294797,169.7152555157458,7.85,0.9902,0.9473,0.9956,0.0983,0.9629,0.0608,9.676290854416482,8.37,0.4191,5.374999999999999,5.157142857142857,3.1375,0.9571,0.4726,277.5699355555019,9.930755549938159,11.909281051589517,0.02257845396331784,-0.0125,0.9549084846184192,7.443300657243448,20.05,0.2747647882268485,0.12023121387283237,3.72,41.2,165.9856046565289,2.977320262897379,0.0198,0.1439,0.1142,0.2918
12,XIII MÉIER,2.2350253302870766,0.09611567904734902,105.96026490066225,11.85,0.9877,0.9607,0.9911,0.1103,0.9626,0.0325,11.45079478525181,7.19,0.4388,5.208333333333334,5.172222222222222,3.276190476190476,0.9791,0.5888,223.47705811795024,5.603873397292208,16.592002654720424,0.030992224435722523,-0.0636,0.6898653031057213,15.489590076029286,28.05,0.2996302377874802,0.08874397504961724,2.77,32.66,155.581621853345,3.370328488558066,0.0109,0.2411,0.1776,0.3898
13,XIV IRAJA,2.5827434474842166,0.09539842873176206,155.65548253199586,6.29,0.998,0.9778,0.996,0.0415,0.9768,0.0388,19.216366431471478,6.44,0.5012,5.768750000000001,5.1000000000000005,4.290909090909091,0.9658,0.5421,248.0441636983869,13.303638298711025,13.79636564310773,0.040956909558115734,-0.0026,0.7196,5.912728132760455,31.39,0.27076678810511623,0.09585201793721973,1.48,49.82,143.87638456383775,3.9418187551736366,0.0142,0.1818,0.1287,0.3656
14,XV MADUREIRA,3.0454318522216677,0.09678371200944232,135.73432268572978,11.49,0.9907,0.9211,0.9935,0.0787,0.9605,0.0639,17.20578114246387,8.85,0.431,5.431428571428572,4.97,3.8565217391304345,0.9585,0.4743,225.16683610009875,8.073559093967257,12.884003704151064,0.003385851408141741,-0.0277,0.7638,9.14057123193393,33.83,0.286053030760331,0.1068161699616406,0.81,20.19,218.02950791465932,5.107966276668961,0.0172,0.1235,0.0902,0.2505
15,XVI JACAREPAGUÁ,2.097951001188839,0.0902813965607087,115.72638974994834,5.04,0.9792,0.8167,0.9654,0.2751,0.9321,0.0623,10.834209564654763,4.68,0.4792,5.6866666666666665,5.35625,2.731578947368421,0.9655,0.5397,209.01722954802574,8.915616313829695,13.81046448612835,0.02324388559021455,-0.0374,0.5233187070608185,2.001962070821199,32.28,0.26987653100462206,0.08581846594608673,0.17,9.52,196.2880666262221,2.1034216923836153,0.0197,0.1976,0.1172,0.291
16,XVII BANGU,3.325810666349923,0.09950805008944544,154.28851953152395,6.4,0.9931,0.9228,0.9919,0.1957,0.9277,0.0693,15.419299823612555,4.42,0.4215,5.425641025641027,5.1421052631578945,2.9250000000000003,0.9507,0.3665,211.64047296830086,14.532489803036322,20.792692186386628,0.01084559272808208,-0.0554,0.4215,12.849416519677128,21.39,0.2676389788380567,0.13008493518104605,11.91,10.48,200.68452346186643,4.205263588257969,0.0239,0.0809,0.0535,0.1633
17,XVIII CAMPO GRANDE,2.6726614212564006,0.0904939809049398,140.1418936673382,5.59,0.9853,0.8221,0.9947,0.079,0.9194,0.0717,9.592609263508976,2.19,0.4971,5.583582089552237,4.9624999999999995,2.857142857142857,0.9559,0.4179,252.58653661339892,10.883922048981338,11.43734181418378,0.02502365945861216,-0.0818,0.36971022941094,0.9223662753374016,38.89,0.24692738866603736,0.08467072495849474,1.48,15.69,238.70839205731951,0.553419765202441,0.0204,0.1046,0.0796,0.1777
18,XIX SANTA CRUZ,3.264564332110524,0.10026905829596412,156.81263793704264,10.12,0.9811,0.7614,0.9925,0.1256,0.8813,0.097,11.66785154151313,1.62,0.4411,5.322916666666667,4.7,1.0625,0.93,0.3042,278.37010480648604,13.567269234317594,16.28072308118111,5.111323598280598e-05,-0.1213,0.45330959965701945,1.6280723081181112,24.13,0.24963417340065136,0.1359641255605381,7.05,6.42,260.76291468358414,1.6280723081181112,0.0313,0.0464,0.0341,0.0798
19,XX ILHA DO GOVERNADOR,2.471933257802039,0.09831029185867896,87.27526618956188,6.79,0.9906,0.9511,0.9824,0.1138,0.9781,0.0433,15.524005757994864,1.75,0.5478999999999999,5.5285714285714285,5.208333333333333,1.618181818181818,0.9694,0.5614,212.24544510104,2.7153252959704575,15.053581341085927,0.0547226543670039,-0.0109,0.020741012541514954,2.352122084544676,28.18,0.2895608823702499,0.07164790174002048,6.59,23.67,140.65690065577164,2.8225465014536115,0.0157,0.2784,0.1303,0.3657
20,XXII ANCHIETA,3.337041156840934,0.10029498525073746,124.75494564248798,6.67,0.9763,0.9384,0.9963,0.1584,0.9578,0.0796,22.107404085448273,6.66,0.4656,5.457142857142856,5.137499999999999,4.114285714285715,0.9487,0.4201,263.85579473096135,7.78240398459084,9.474601750906404,0,-0.0477,0.4766,22.107404085448273,20.81,0.2693391327103881,0.37309048178613397,0.63,47.4,186.3338344344926,8.84296163417931,0.0252,0.08,0.0647,0.1915
21,XXIII SANTA TERESA,2.5329280648429586,0.09264305177111716,259.96533795493934,2.73,0.9956,0.9443,0.9589,0.2143,0.9701,0.0556,10.577058894804454,7.27,0.5786,5.666666666666667,5.25,0,0.9761,0.5476,132.86440015631106,24.434344915212822,7.330303474563847,0,-0.0318,0.43385622831451887,14.761022065217608,36.25,0.32651230992717806,0,0,69.56,168.0279609237923,2.4434344915212822,0.0234,0.229,0.1253,0.2425
22,XXIV BARRA DA TIJUCA,1.941747572815534,0.08972468043264503,87.07353756035779,2.73,0.9327,0.752,0.9837,0.163,0.9572,0.0383,13.422126902861354,5.65,0.457,5.672727272727273,5.533333333333334,5.7,0.984,0.7343,154.9061233686449,10.407294506291377,8.975377547594432,0.06236020197369557,-0.1272,0.7003886006056718,1.7504336083796124,47.11,0.2784649010485134,0.035126504544338,0.33,40.45,255.86348912377107,1.77452269613999,0.0109,0.485,0.1947,0.481
